Unique,Name,Value,Category,Silver,Time,Focus,Return
T5_STONEBLOCK,Granite Block,30.0,rock,0.0,0.5,89.0,8.0
T5_STONEBLOCK,Granite Block,30.0,rock,0.0,0.0625,89.0,1.0
T6_STONEBLOCK,Slate Block,62.0,rock,0.0,0.08333,160.0,1.0
T6_STONEBLOCK,Slate Block,62.0,rock,0.0,0.16666,160.0,2.0
T6_STONEBLOCK,Slate Block,62.0,rock,0.0,0.33332,160.0,4.0
T6_STONEBLOCK,Slate Block,62.0,rock,0.0,0.66664,160.0,8.0
T6_STONEBLOCK,Slate Block,62.0,rock,0.0,0.08333,160.0,1.0
T7_STONEBLOCK,Basalt Block,126.0,rock,0.0,0.10417,284.0,1.0
T7_STONEBLOCK,Basalt Block,126.0,rock,0.0,0.20834,284.0,2.0
T7_STONEBLOCK,Basalt Block,126.0,rock,0.0,0.41668,284.0,4.0
T7_STONEBLOCK,Basalt Block,126.0,rock,0.0,0.83336,284.0,8.0
T7_STONEBLOCK,Basalt Block,126.0,rock,0.0,0.10417,284.0,1.0
T8_STONEBLOCK,Marble Block,254.0,rock,0.0,0.15625,500.0,1.0
T8_STONEBLOCK,Marble Block,254.0,rock,0.0,0.3125,500.0,2.0
T8_STONEBLOCK,Marble Block,254.0,rock,0.0,0.625,500.0,4.0
T8_STONEBLOCK,Marble Block,254.0,rock,0.0,1.25,500.0,8.0
T8_STONEBLOCK,Marble Block,254.0,rock,0.0,0.15625,500.0,1.0
T2_METALBAR,Copper Bar,2.0,ore,0.0,0.02083,10.0,1.0
T3_METALBAR,Bronze Bar,6.0,ore,0.0,0.03125,24.0,1.0
T4_METALBAR,Steel Bar,14.0,ore,0.0,0.04167,48.0,1.0
T4_METALBAR,Steel Bar,14.0,ore,0.0,0.04167,48.0,1.0
T5_METALBAR,Titanium Steel Bar,30.0,ore,0.0,0.0625,89.0,1.0
T5_METALBAR,Titanium Steel Bar,30.0,ore,0.0,0.0625,89.0,1.0
T6_METALBAR,Runite Steel Bar,62.0,ore,0.0,0.08333,160.0,1.0
T6_METALBAR,Runite Steel Bar,62.0,ore,0.0,0.08333,160.0,1.0
T7_METALBAR,Meteorite Steel Bar,126.0,ore,0.0,0.10417,284.0,1.0
T7_METALBAR,Meteorite Steel Bar,126.0,ore,0.0,0.10417,284.0,1.0
T8_METALBAR,Adamantium Steel Bar,254.0,ore,0.0,0.15625,500.0,1.0
T8_METALBAR,Adamantium Steel Bar,254.0,ore,0.0,0.15625,500.0,1.0
T2_LEATHER,Stiff Leather,2.0,hide,0.0,0.02083,10.0,1.0
T3_LEATHER,Thick Leather,6.0,hide,0.0,0.03125,24.0,1.0
T4_LEATHER,Worked Leather,14.0,hide,0.0,0.04167,48.0,1.0
T4_LEATHER,Worked Leather,14.0,hide,0.0,0.04167,48.0,1.0
T5_LEATHER,Cured Leather,30.0,hide,0.0,0.0625,89.0,1.0
T5_LEATHER,Cured Leather,30.0,hide,0.0,0.0625,89.0,1.0
T6_LEATHER,Hardened Leather,61.0,hide,0.0,0.08333,160.0,1.0
T6_LEATHER,Hardened Leather,61.0,hide,0.0,0.08333,160.0,1.0
T7_LEATHER,Reinforced Leather,126.0,hide,0.0,0.10417,284.0,1.0
T7_LEATHER,Reinforced Leather,126.0,hide,0.0,0.10417,284.0,1.0
T8_LEATHER,Fortified Leather,254.0,hide,0.0,0.15625,500.0,1.0
T8_LEATHER,Fortified Leather,254.0,hide,0.0,0.15625,500.0,1.0
T2_CLOTH,Simple Cloth,2.0,fiber,0.0,0.02083,10.0,1.0
T3_CLOTH,Neat Cloth,6.0,fiber,0.0,0.03125,24.0,1.0
T4_CLOTH,Fine Cloth,14.0,fiber,0.0,0.04167,48.0,1.0
T4_CLOTH,Fine Cloth,14.0,fiber,0.0,0.04167,48.0,1.0
T5_CLOTH,Ornate Cloth,30.0,fiber,0.0,0.0625,89.0,1.0
T5_CLOTH,Ornate Cloth,30.0,fiber,0.0,0.0625,89.0,1.0
T6_CLOTH,Lavish Cloth,61.0,fiber,0.0,0.08333,160.0,1.0
T6_CLOTH,Lavish Cloth,61.0,fiber,0.0,0.08333,160.0,1.0
T7_CLOTH,Opulent Cloth,126.0,fiber,0.0,0.10417,284.0,1.0
T7_CLOTH,Opulent Cloth,126.0,fiber,0.0,0.10417,284.0,1.0
T8_CLOTH,Baroque Cloth,254.0,fiber,0.0,0.15625,500.0,1.0
T8_CLOTH,Baroque Cloth,254.0,fiber,0.0,0.15625,500.0,1.0
T4_ARTEFACT_2H_ARCANESTAFF_HELL,Artefact Adept's Occult Staff,,,,,,
T4_ARTEFACT_2H_BOW_HELL,Artefact Adept's Wailing Bow,,,,,,
T4_ARTEFACT_2H_BOW_KEEPER,Artefact Adept's Bow of Badon,,,,,,
T4_ARTEFACT_2H_CLEAVER_HELL,Artefact Adept's Carving Sword,,,,,,
T4_ARTEFACT_2H_COMBATSTAFF_MORGANA,Artefact Adept's Black Monk Stave,,,,,,
T4_ARTEFACT_2H_CROSSBOWLARGE_MORGANA,Artefact Adept's Siegebow,,,,,,
T4_ARTEFACT_2H_CURSEDSTAFF_MORGANA,Artefact Adept's Damnation Staff,,,,,,
T5_ARTEFACT_2H_CURSEDSTAFF_MORGANA,Artefact Adept's Damnation Staff,,,,,,
T6_ARTEFACT_2H_CURSEDSTAFF_MORGANA,Artefact Adept's Damnation Staff,,,,,,
T7_ARTEFACT_2H_CURSEDSTAFF_MORGANA,Artefact Adept's Damnation Staff,,,,,,
T8_ARTEFACT_2H_CURSEDSTAFF_MORGANA,Artefact Adept's Damnation Staff,,,,,,
T4_ARTEFACT_2H_DUALAXE_KEEPER,Artefact Adept's Bear Paws,,,,,,
T4_ARTEFACT_2H_DUALCROSSBOW_HELL,Artefact Adept's Boltcasters,,,,,,
T4_ARTEFACT_2H_DUALHAMMER_HELL,Artefact Adept's Forge Hammers,,,,,,
T4_ARTEFACT_2H_DUALSCIMITAR_UNDEAD,Artefact Adept's Galatine Pair,,,,,,
T4_ARTEFACT_2H_DUALSICKLE_UNDEAD,Artefact Adept's Deathgivers,,,,,,
T4_ARTEFACT_2H_ENIGMATICORB_MORGANA,Artefact Adept's Malevolent Locus,,,,,,
T4_ARTEFACT_2H_FIRESTAFF_HELL,Artefact Adept's Brimstone Staff,,,,,,
T4_ARTEFACT_2H_HALBERD_MORGANA,Artefact Adept's Carrioncaller,,,,,,
T4_ARTEFACT_2H_HAMMER_UNDEAD,Artefact Adept's Tombhammer,,,,,,
T4_ARTEFACT_2H_HARPOON_HELL,Artefact Adept's Spirithunter,,,,,,
T4_ARTEFACT_MAIN_HOLYSTAFF_MORGANA,Artefact Adept's Lifetouch Staff,,,,,,
T4_ARTEFACT_2H_HOLYSTAFF_HELL,Artefact Adept's Fallen Staff,,,,,,
T4_ARTEFACT_2H_HOLYSTAFF_UNDEAD,Artefact Adept's Redemption Staff,,,,,,
T4_ARTEFACT_2H_ICECRYSTAL_UNDEAD,Artefact Adept's Permafrost Prism,,,,,,
T4_ARTEFACT_2H_ICEGAUNTLETS_HELL,Artefact Adept's Icicle Staff,,,,,,
T4_ARTEFACT_2H_INFERNOSTAFF_MORGANA,Artefact Adept's Blazing Staff,,,,,,
T4_ARTEFACT_2H_IRONGAUNTLETS_HELL,Artefact Adept's Black Hands,,,,,,
T4_ARTEFACT_2H_LONGBOW_UNDEAD,Artefact Adept's Whispering Bow,,,,,,
T4_ARTEFACT_2H_MACE_MORGANA,Artefact Adept's Camlann Mace,,,,,,
T4_ARTEFACT_2H_NATURESTAFF_HELL,Artefact Adept's Blight Staff,,,,,,
T4_ARTEFACT_2H_NATURESTAFF_KEEPER,Artefact Adept's Rampant Staff,,,,,,
T4_ARTEFACT_2H_RAM_KEEPER,Artefact Adept's Grovekeeper,,,,,,
T4_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,Artefact Adept's Weeping Repeater,,,,,,
T4_ARTEFACT_2H_ROCKSTAFF_KEEPER,Artefact Adept's Staff of Balance,,,,,,
T4_ARTEFACT_2H_SKULLORB_HELL,Artefact Adept's Cursed Skull,,,,,,
T4_ARTEFACT_2H_TRIDENT_UNDEAD,Artefact Adept's Trinity Spear,,,,,,
T4_ARTEFACT_2H_TWINSCYTHE_HELL,Artefact Adept's Soulscythe,,,,,,
T4_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD,Artefact Adept's Witchwork Staff,,,,,,
T4_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD,Artefact Adept's Lifecurse Staff,,,,,,
T4_ARTEFACT_MAIN_FIRESTAFF_KEEPER,Artefact Adept's Wildfire Staff,,,,,,
T4_ARTEFACT_MAIN_FROSTSTAFF_KEEPER,Artefact Adept's Hoarfrost Staff,,,,,,
T4_ARTEFACT_MAIN_MACE_HELL,Artefact Adept's Incubus Mace,,,,,,
T4_ARTEFACT_MAIN_NATURESTAFF_KEEPER,Artefact Adept's Druidic Staff,,,,,,
T4_ARTEFACT_MAIN_RAPIER_MORGANA,Artefact Adept's Bloodletter,,,,,,
T4_ARTEFACT_MAIN_ROCKMACE_KEEPER,Artefact Adept's Bedrock Mace,,,,,,
T4_ARTEFACT_MAIN_SCIMITAR_MORGANA,Artefact Adept's Clarent Blade,,,,,,
T4_ARTEFACT_MAIN_SPEAR_KEEPER,Artefact Adept's Heron Spear,,,,,,
T5_ARTEFACT_2H_ARCANESTAFF_HELL,Artefact Expert's Occult Staff,,,,,,
T5_ARTEFACT_2H_BOW_HELL,Artefact Expert's Wailing Bow,,,,,,
T5_ARTEFACT_2H_BOW_KEEPER,Artefact Expert's Bow of Badon,,,,,,
T5_ARTEFACT_2H_CLEAVER_HELL,Artefact Expert's Carving Sword,,,,,,
T5_ARTEFACT_2H_COMBATSTAFF_MORGANA,Artefact Expert's Black Monk Stave,,,,,,
T5_ARTEFACT_2H_CROSSBOWLARGE_MORGANA,Artefact Expert's Siegebow,,,,,,
T5_ARTEFACT_2H_DUALAXE_KEEPER,Artefact Expert's Bear Paws,,,,,,
T5_ARTEFACT_2H_DUALCROSSBOW_HELL,Artefact Expert's Boltcasters,,,,,,
T5_ARTEFACT_2H_DUALHAMMER_HELL,Artefact Expert's Forge Hammers,,,,,,
T5_ARTEFACT_2H_DUALSCIMITAR_UNDEAD,Artefact Expert's Galatine Pair,,,,,,
T5_ARTEFACT_2H_DUALSICKLE_UNDEAD,Artefact Expert's Deathgivers,,,,,,
T5_ARTEFACT_2H_ENIGMATICORB_MORGANA,Artefact Expert's Malevolent Locus,,,,,,
T5_ARTEFACT_2H_FIRESTAFF_HELL,Artefact Expert's Brimstone Staff,,,,,,
T5_ARTEFACT_2H_HALBERD_MORGANA,Artefact Expert's Carrioncaller,,,,,,
T5_ARTEFACT_2H_HAMMER_UNDEAD,Artefact Expert's Tombhammer,,,,,,
T5_ARTEFACT_2H_HARPOON_HELL,Artefact Expert's Spirithunter,,,,,,
T5_ARTEFACT_MAIN_HOLYSTAFF_MORGANA,Artefact Expert's Lifetouch Staff,,,,,,
T5_ARTEFACT_2H_HOLYSTAFF_HELL,Artefact Expert's Fallen Staff,,,,,,
T5_ARTEFACT_2H_HOLYSTAFF_UNDEAD,Artefact Expert's Redemption Staff,,,,,,
T5_ARTEFACT_2H_ICECRYSTAL_UNDEAD,Artefact Expert's Permafrost Prism,,,,,,
T5_ARTEFACT_2H_ICEGAUNTLETS_HELL,Artefact Expert's Icicle Staff,,,,,,
T5_ARTEFACT_2H_INFERNOSTAFF_MORGANA,Artefact Expert's Blazing Staff,,,,,,
T5_ARTEFACT_2H_IRONGAUNTLETS_HELL,Artefact Expert's Black Hands,,,,,,
T5_ARTEFACT_2H_LONGBOW_UNDEAD,Artefact Expert's Whispering Bow,,,,,,
T5_ARTEFACT_2H_MACE_MORGANA,Artefact Expert's Camlann Mace,,,,,,
T5_ARTEFACT_2H_NATURESTAFF_HELL,Artefact Expert's Blight Staff,,,,,,
T5_ARTEFACT_2H_NATURESTAFF_KEEPER,Artefact Expert's Rampant Staff,,,,,,
T5_ARTEFACT_2H_RAM_KEEPER,Artefact Expert's Grovekeeper,,,,,,
T5_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,Artefact Expert's Weeping Repeater,,,,,,
T5_ARTEFACT_2H_ROCKSTAFF_KEEPER,Artefact Expert's Staff of Balance,,,,,,
T4_ARTEFACT_2H_SCYTHE_HELL,Artefact Expert's Scythe,,,,,,
T5_ARTEFACT_2H_SCYTHE_HELL,Artefact Expert's Scythe,,,,,,
T6_ARTEFACT_2H_SCYTHE_HELL,Artefact Expert's Scythe,,,,,,
T7_ARTEFACT_2H_SCYTHE_HELL,Artefact Expert's Scythe,,,,,,
T8_ARTEFACT_2H_SCYTHE_HELL,Artefact Expert's Scythe,,,,,,
T5_ARTEFACT_2H_SKULLORB_HELL,Artefact Expert's Cursed Skull,,,,,,
T5_ARTEFACT_2H_TRIDENT_UNDEAD,Artefact Expert's Trinity Spear,,,,,,
T5_ARTEFACT_2H_TWINSCYTHE_HELL,Artefact Expert's Soulscythe,,,,,,
T5_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD,Artefact Expert's Witchwork Staff,,,,,,
T5_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD,Artefact Expert's Lifecurse Staff,,,,,,
T5_ARTEFACT_MAIN_FIRESTAFF_KEEPER,Artefact Expert's Wildfire Staff,,,,,,
T5_ARTEFACT_MAIN_FROSTSTAFF_KEEPER,Artefact Expert's Hoarfrost Staff,,,,,,
T5_ARTEFACT_MAIN_MACE_HELL,Artefact Expert's Incubus Mace,,,,,,
T5_ARTEFACT_MAIN_NATURESTAFF_KEEPER,Artefact Expert's Druidic Staff,,,,,,
T5_ARTEFACT_MAIN_RAPIER_MORGANA,Artefact Expert's Bloodletter,,,,,,
T5_ARTEFACT_MAIN_ROCKMACE_KEEPER,Artefact Expert's Bedrock Mace,,,,,,
T5_ARTEFACT_MAIN_SCIMITAR_MORGANA,Artefact Expert's Clarent Blade,,,,,,
T5_ARTEFACT_MAIN_SPEAR_KEEPER,Artefact Expert's Heron Spear,,,,,,
T6_ARTEFACT_2H_ARCANESTAFF_HELL,Artefact Master's Occult Staff,,,,,,
T6_ARTEFACT_2H_BOW_HELL,Artefact Master's Wailing Bow,,,,,,
T6_ARTEFACT_2H_BOW_KEEPER,Artefact Master's Bow of Badon,,,,,,
T6_ARTEFACT_2H_CLEAVER_HELL,Artefact Master's Carving Sword,,,,,,
T6_ARTEFACT_2H_COMBATSTAFF_MORGANA,Artefact Master's Black Monk Stave,,,,,,
T6_ARTEFACT_2H_CROSSBOWLARGE_MORGANA,Artefact Master's Siegebow,,,,,,
T6_ARTEFACT_2H_DUALAXE_KEEPER,Artefact Master's Bear Paws,,,,,,
T6_ARTEFACT_2H_DUALCROSSBOW_HELL,Artefact Master's Boltcasters,,,,,,
T6_ARTEFACT_2H_DUALHAMMER_HELL,Artefact Master's Forge Hammers,,,,,,
T6_ARTEFACT_2H_DUALSCIMITAR_UNDEAD,Artefact Master's Galatine Pair,,,,,,
T6_ARTEFACT_2H_DUALSICKLE_UNDEAD,Artefact Master's Deathgivers,,,,,,
T6_ARTEFACT_2H_ENIGMATICORB_MORGANA,Artefact Master's Malevolent Locus,,,,,,
T6_ARTEFACT_2H_FIRESTAFF_HELL,Artefact Master's Brimstone Staff,,,,,,
T6_ARTEFACT_2H_HALBERD_MORGANA,Artefact Master's Carrioncaller,,,,,,
T6_ARTEFACT_2H_HAMMER_UNDEAD,Artefact Master's Tombhammer,,,,,,
T6_ARTEFACT_2H_HARPOON_HELL,Artefact Master's Spirithunter,,,,,,
T6_ARTEFACT_MAIN_HOLYSTAFF_MORGANA,Artefact Master's Lifetouch Staff,,,,,,
T6_ARTEFACT_2H_HOLYSTAFF_HELL,Artefact Master's Fallen Staff,,,,,,
T6_ARTEFACT_2H_HOLYSTAFF_UNDEAD,Artefact Master's Redemption Staff,,,,,,
T6_ARTEFACT_2H_ICECRYSTAL_UNDEAD,Artefact Master's Permafrost Prism,,,,,,
T6_ARTEFACT_2H_ICEGAUNTLETS_HELL,Artefact Master's Icicle Staff,,,,,,
T6_ARTEFACT_2H_INFERNOSTAFF_MORGANA,Artefact Master's Blazing Staff,,,,,,
T6_ARTEFACT_2H_IRONGAUNTLETS_HELL,Artefact Master's Black Hands,,,,,,
T6_ARTEFACT_2H_LONGBOW_UNDEAD,Artefact Master's Whispering Bow,,,,,,
T6_ARTEFACT_2H_MACE_MORGANA,Artefact Master's Camlann Mace,,,,,,
T6_ARTEFACT_2H_NATURESTAFF_HELL,Artefact Master's Blight Staff,,,,,,
T6_ARTEFACT_2H_NATURESTAFF_KEEPER,Artefact Master's Rampant Staff,,,,,,
T6_ARTEFACT_2H_RAM_KEEPER,Artefact Master's Grovekeeper,,,,,,
T6_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,Artefact Master's Weeping Repeater,,,,,,
T6_ARTEFACT_2H_ROCKSTAFF_KEEPER,Artefact Master's Staff of Balance,,,,,,
T6_ARTEFACT_2H_SKULLORB_HELL,Artefact Master's Cursed Skull,,,,,,
T6_ARTEFACT_2H_TRIDENT_UNDEAD,Artefact Master's Trinity Spear,,,,,,
T6_ARTEFACT_2H_TWINSCYTHE_HELL,Artefact Master's Soulscythe,,,,,,
T6_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD,Artefact Master's Witchwork Staff,,,,,,
T6_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD,Artefact Master's Lifecurse Staff,,,,,,
T6_ARTEFACT_MAIN_FIRESTAFF_KEEPER,Artefact Master's Wildfire Staff,,,,,,
T6_ARTEFACT_MAIN_FROSTSTAFF_KEEPER,Artefact Master's Hoarfrost Staff,,,,,,
T6_ARTEFACT_MAIN_MACE_HELL,Artefact Master's Incubus Mace,,,,,,
T6_ARTEFACT_MAIN_NATURESTAFF_KEEPER,Artefact Master's Druidic Staff,,,,,,
T6_ARTEFACT_MAIN_RAPIER_MORGANA,Artefact Master's Bloodletter,,,,,,
T6_ARTEFACT_MAIN_ROCKMACE_KEEPER,Artefact Master's Bedrock Mace,,,,,,
T6_ARTEFACT_MAIN_SCIMITAR_MORGANA,Artefact Master's Clarent Blade,,,,,,
T6_ARTEFACT_MAIN_SPEAR_KEEPER,Artefact Master's Heron Spear,,,,,,
T7_ARTEFACT_2H_ARCANESTAFF_HELL,Artefact Grandmaster's Occult Staff,,,,,,
T7_ARTEFACT_2H_BOW_HELL,Artefact Grandmaster's Wailing Bow,,,,,,
T7_ARTEFACT_2H_BOW_KEEPER,Artefact Grandmaster's Bow of Badon,,,,,,
T7_ARTEFACT_2H_CLEAVER_HELL,Artefact Grandmaster's Carving Sword,,,,,,
T7_ARTEFACT_2H_COMBATSTAFF_MORGANA,Artefact Grandmaster's Black Monk Stave,,,,,,
T7_ARTEFACT_2H_CROSSBOWLARGE_MORGANA,Artefact Grandmaster's Siegebow,,,,,,
T7_ARTEFACT_2H_DUALAXE_KEEPER,Artefact Grandmaster's Bear Paws,,,,,,
T7_ARTEFACT_2H_DUALCROSSBOW_HELL,Artefact Grandmaster's Boltcasters,,,,,,
T7_ARTEFACT_2H_DUALHAMMER_HELL,Artefact Grandmaster's Forge Hammers,,,,,,
T7_ARTEFACT_2H_DUALSCIMITAR_UNDEAD,Artefact Grandmaster's Galatine Pair,,,,,,
T7_ARTEFACT_2H_DUALSICKLE_UNDEAD,Artefact Grandmaster's Deathgivers,,,,,,
T7_ARTEFACT_2H_ENIGMATICORB_MORGANA,Artefact Grandmaster's Malevolent Locus,,,,,,
T7_ARTEFACT_2H_FIRESTAFF_HELL,Artefact Grandmaster's Brimstone Staff,,,,,,
T7_ARTEFACT_2H_HALBERD_MORGANA,Artefact Grandmaster's Carrioncaller,,,,,,
T7_ARTEFACT_2H_HAMMER_UNDEAD,Artefact Grandmaster's Tombhammer,,,,,,
T7_ARTEFACT_2H_HARPOON_HELL,Artefact Grandmaster's Spirithunter,,,,,,
T7_ARTEFACT_MAIN_HOLYSTAFF_MORGANA,Artefact Grandmaster's Lifetouch Staff,,,,,,
T7_ARTEFACT_2H_HOLYSTAFF_HELL,Artefact Grandmaster's Fallen Staff,,,,,,
T7_ARTEFACT_2H_HOLYSTAFF_UNDEAD,Artefact Grandmaster's Redemption Staff,,,,,,
T7_ARTEFACT_2H_ICECRYSTAL_UNDEAD,Artefact Grandmaster's Permafrost Prism,,,,,,
T7_ARTEFACT_2H_ICEGAUNTLETS_HELL,Artefact Grandmaster's Icicle Staff,,,,,,
T7_ARTEFACT_2H_INFERNOSTAFF_MORGANA,Artefact Grandmaster's Blazing Staff,,,,,,
T7_ARTEFACT_2H_IRONGAUNTLETS_HELL,Artefact Grandmaster's Black Hands,,,,,,
T7_ARTEFACT_2H_LONGBOW_UNDEAD,Artefact Grandmaster's Whispering Bow,,,,,,
T7_ARTEFACT_2H_MACE_MORGANA,Artefact Grandmaster's Camlann Mace,,,,,,
T7_ARTEFACT_2H_NATURESTAFF_HELL,Artefact Grandmaster's Blight Staff,,,,,,
T7_ARTEFACT_2H_NATURESTAFF_KEEPER,Artefact Grandmaster's Rampant Staff,,,,,,
T7_ARTEFACT_2H_RAM_KEEPER,Artefact Grandmaster's Grovekeeper,,,,,,
T7_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD,Artefact Grandmaster's Weeping Repeater,,,,,,
T7_ARTEFACT_2H_ROCKSTAFF_KEEPER,Artefact Grandmaster's Staff of Balance,,,,,,
T7_ARTEFACT_2H_SKULLORB_HELL,Artefact Grandmaster's Cursed Skull,,,,,,
T7_ARTEFACT_2H_TRIDENT_UNDEAD,Artefact Grandmaster's Trinity Spear,,,,,,
T7_ARTEFACT_2H_TWINSCYTHE_HELL,Artefact Grandmaster's Soulscythe,,,,,,
T7_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD,Artefact Grandmaster's Witchwork Staff,,,,,,
T7_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD,Artefact Grandmaster's Lifecurse Staff,,,,,,
T7_ARTEFACT_MAIN_FIRESTAFF_KEEPER,Artefact Grandmaster's Wildfire Staff,,,,,,
T7_ARTEFACT_MAIN_FROSTSTAFF_KEEPER,Artefact Grandmaster's Hoarfrost Staff,,,,,,
T7_ARTEFACT_MAIN_MACE_HELL,Artefact Grandmaster's Incubus Mace,,,,,,
T7_ARTEFACT_MAIN_NATURESTAFF_KEEPER,Artefact Grandmaster's Druidic Staff,,,,,,
T7_ARTEFACT_MAIN_RAPIER_MORGANA,Artefact Grandmaster's Bloodletter,,,,,,
T7_ARTEFACT_MAIN_ROCKMACE_KEEPER,Artefact Grandmaster's Bedrock Mace,,,,,,
T7_ARTEFACT_MAIN_SCIMITAR_MORGANA,Artefact Grandmaster's Clarent Blade,,,,,,
T7_ARTEFACT_MAIN_SPEAR_KEEPER,Artefact Grandmaster's Heron Spear,,,,,,
T8_ARTEFACT_2H_ARCANESTAFF_HELL,Artefact Elder's Occult Staff,,,,,,
T8_ARTEFACT_2H_BOW_HELL,Artefact Elder's Wailing Bow,,,,,,
T8_ARTEFACT_2H_BOW_KEEPER,Artefact Elder's Bow of Badon,,,,,,
T8_ARTEFACT_2H_CLEAVER_HELL,Artefact Elder's Carving Sword,,,,,,
T8_ARTEFACT_2H_COMBATSTAFF_MORGANA,Artefact Elder's Black Monk Stave,,,,,,
T8_ARTEFACT_2H_CROSSBOWLARGE_MORGANA,Artefact Elder's Siegebow,,,,,,
T8_ARTEFACT_2H_DUALAXE_KEEPER,Artefact Elder's Bear Paws,,,,,,
T8_ARTEFACT_2H_DUALCROSSBOW_HELL,Artefact Elder's Boltcasters,,,,,,
T8_ARTEFACT_2H_DUALHAMMER_HELL,Artefact Elder's Forge Hammers,,,,,,
T8_ARTEFACT_2H_DUALSCIMITAR_UNDEAD,Artefact Elder's Galatine Pair,,,,,,
T8_ARTEFACT_2H_DUALSICKLE_UNDEAD,Artefact Elder's Deathgivers,,,,,,
T8_ARTEFACT_2H_ENIGMATICORB_MORGANA,Artefact Elder's Malevolent Locus,,,,,,
